Name,SMILES,Properties,Molecular Weight,LogP,Hydrogen Donors,Hydrogen Acceptors,Therapeutic Class,Chemical Structure Type,Origin,Half-Life,Metabolism,Protein Binding
"Risedronate","CC1=CN=C(C=C1)CC(P(=O)(O)O)(P(=O)(O)O)O","Osteoporosis Medication","283.11","-1.34","4","6","Bisphosphonate","Pyridine","Synthetic","480 hours","Kidney","24%"
"Sildenafil","CCCN1C(=O)C2=C(N=C(N=C2N1C)C3=CC(=C(C=C3)S(=O)(=O)NCC)OCC)C","Erectile Dysfunction","474.58","2.75","1","5","PDE5 Inhibitor","Pyrazolopyrimidine","Synthetic","4 hours","Liver","96%"
"Tiotropium","C[N+]1(C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CS4)C","Bronchodilator","472.42","0.89","2","5","Anticholinergic","Quaternary Ammonium","Synthetic","24 hours","Liver","72%"
"Ustekinumab","Complex Protein Structure","Psoriasis Medication","148500","N/A","Multiple","Multiple","Monoclonal Antibody","Protein","Synthetic","15-46 days","Systemic","N/A"
"Varenicline","C1C2CN(C(C1)C3=CC4=NC=CN=C4C=C3)C2","Smoking Cessation","211.26","1.43","1","2","Nicotinic Receptor Agonist","Quinoline","Synthetic","24 hours","Minimal","<20%"
"Xarelto","CC1=C(C(=O)N(C2=C1C=CC(=C2)Cl)C3CCN(CC3)C(=O)NC4=CC=C(C=C4)Cl)O","Anticoagulant","435.88","3.19","2","5","Direct Factor Xa Inhibitor","Oxazolidinone","Synthetic","5-9 hours","Liver","95%"
"Yohimbine","CC1C2C3=CC=CC=C3NC4=C2C(N1)CC(C4)OC(=O)C5CC5","Aphrodisiac","361.44","2.73","2","4","Alpha-2 Antagonist","Indole Alkaloid","Natural","0.5-1 hour","Liver","82%"
"Zoledronic Acid","C1=CN=C(C=C1)CC(P(=O)(O)O)(P(=O)(O)O)N","Osteoporosis Medication","272.09","-0.77","4","6","Bisphosphonate","Imidazole","Synthetic","146 hours","Kidney","56%"
"Aclidinium","C[N+]1(CCC(C1)OC(=O)C(C2=CC=CS2)O)CC3=CC=CC=C3","Bronchodilator","485.65","1.12","1","4","Anticholinergic","Quaternary Ammonium","Synthetic","6-8 hours","Liver","65%"
"Bedaquiline","CC1=CC2=C(C(=C1)NC3=CC=CC=C3C(C4=CC=CC=C4)O)N(C5=CC=CC=C52)C","Antitubercular","555.50","6.45","1","3","Antimycobacterial","Quinoline","Synthetic","5.5 months","Liver","99%"
"Cabergoline","CCN(CC)C(=O)N1CC2C(C1)C3=C(C=C(C=C3)NC(=O)N(C)C)C4=C2C=CC=C4","Parkinson's Medication","451.60","3.54","2","4","Dopamine Agonist","Ergoline","Synthetic","63-69 hours","Liver","40%"
"Dactinomycin","CC1C(=O)NC(C(=O)NC2C(OC(=O)C(NC(=O)C3=CC=CC4=C3N=C(C=C4)NC2=O)C)C(C)O)C(C)O","Anticancer","1255.42","2.87","6","14","Antineoplastic","Polypeptide","Natural","36 hours","Liver","5%"
"Ebastine","CC(C)(C)C1=CC=C(C=C1)C(=O)CCCN2CCN(CC2)C3=CC=CC=C3","Antihistamine","469.66","5.23","0","3","Second-Generation Antihistamine","Piperidine","Synthetic","15-19 hours","Liver","95%"
"Favipiravir","C1=C(N=C(C(=O)N1)O)C(=O)N","Antiviral","157.10","-0.45","2","4","RNA Polymerase Inhibitor","Pyrazine","Synthetic","2-5.5 hours","Liver","54%"
"Glecaprevir","CC1CC2C(C1)NC(=O)C3=C(C=CC(=C3)NS(=O)(=O)C4CC4)NC(=O)C5=NC6=CC=CC=C6N5C2","Antiviral","838.87","4.12","2","8","NS3/4A Protease Inhibitor","Macrocyclic","Synthetic","6-9 hours","Liver","97%"
"Halothane","C(C(F)(F)F)Cl","Anesthetic","197.38","2.30","0","1","General Anesthetic","Haloalkane","Synthetic","Minimal","Liver","20%"
"Ivabradine","CN1CCC2=C(C(=C(C=C2)OCCCN(C)CC3=CC4=C(C=C3)OCO4)OC)CC1","Heart Rate Reducer","468.59","3.45","1","5","If Channel Inhibitor","Benzazepine","Synthetic","2 hours","Liver","70%"
"Jolivamine","CCN(CC)C(=O)C1=CC2=C(C=C1)NC(=C2)CC3=CC=C(C=C3)O","Antidepressant","325.41","3.67","1","3","Monoamine Modulator","Indole","Synthetic","10 hours","Liver","85%"
"Kamoterol","CC(C)NCC(O)COC1=CC=C(C=C1)NC(=O)C2=CC=CS2","Beta Agonist","324.44","2.14","2","4","Bronchodilator","Aryloxypropanolamine","Synthetic","4-6 hours","Liver","45%"
"Lenvatinib","CC1=CC2=C(C(=C1)OC3=CC(=C(C=C3)NC(=O)NC4CC4)Cl)NC(=O)N2","Anticancer","426.85","3.91","2","4","Tyrosine Kinase Inhibitor","Quinoline","Synthetic","28 hours","Liver","98%"
"Mepolizumab","Complex Protein Structure","Anti-Asthmatic","149000","N/A","Multiple","Multiple","Monoclonal Antibody","Protein","Synthetic","16-22 days","Systemic","N/A"
"Nintedanib","CC1=CC2=C(C(=C1)NC(=O)C3=CC=CC=C3)NC(=O)N(C2=O)CC4=CC=CC=C4","Antifibrotic","431.45","3.25","2","5","Tyrosine Kinase Inhibitor","Indole","Synthetic","10-15 hours","Liver","97%"
"Octreotide","CC(C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CO)CC2=CC=CC=C2)CC3=CC=CC=C3)NC(=O)C(CC4=CC=C(C=C4)O)N)O","Hormone Suppressant","1019.24","N/A","Multiple","Multiple","Somatostatin Analog","Peptide","Synthetic","1.7-1.9 hours","Liver","65%"
"Pazopanib","CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)","Anticancer","437.52","3.67","2","5","Tyrosine Kinase Inhibitor","Pyrimidine","Synthetic","31 hours","Liver","99%"
"Qudexy","CC1(C)OC2COC(C(C2O1)OS(=O)(=O)N)C","Anticonvulsant","339.36","0.98","2","6","Antiepileptic","Monosaccharide","Synthetic","19-25 hours","Minimal","15%"
"Ranolazine","CC1=CC=C(C=C1)OCC(O)CN2CCN(CC2)C(=O)C3=CC=CC=C3","Angina Medication","427.54","2.91","1","4","Anti-Ischemic","Piperazine","Synthetic","7 hours","Liver","62%"
"Sacubitril","CC(C)CC(C(=O)O)NC(=O)CCC1=CC=CC=C1","Heart Failure","411.49","3.12","2","4","Neprilysin Inhibitor","Biphenyl","Synthetic","11.5 hours","Liver","97%"
"Talazoparib","CC1=NN(C(=C1)C2=CC(=C(C=C2)NC(=O)C3=CC=CC=C3F)F)C","Anticancer","380.36","3.45","2","4","PARP Inhibitor","Benzotriazole","Synthetic","90 hours","Liver","70%"
"Umeclidinium","C[N+]1(CCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)CC4=CC=CC=C4","Bronchodilator","508.65","1.34","1","4","Anticholinergic","Quaternary Ammonium","Synthetic","19 hours","Liver","89%"
"Vemurafenib","CC1=C(C(=C(C=C1)NC2=NC=C(C(=C2)C3=C(C(=CC=C3)Cl)S(=O)(=O)NC4CC4)F)C)F","Anticancer","489.92","4.78","2","5","BRAF Inhibitor","Pyrrolopyridine","Synthetic","57 hours","Liver","99%"
"Wortmannin","CC1C2C(C(C3=C1C(=O)OC4=C3C(=CC(=C4)OC)O)O)OC(=O)C2","Antifungal","428.43","2.67","2","6","PI3K Inhibitor","Steroidal","Natural","0.5-1 hour","Liver","85%"
"Xanomeline","CCCCCOC1=NSN=C1C2=CC=CN=C2","Alzheimer's Medication","281.42","3.12","0","3","Muscarinic Agonist","Thiadiazole","Synthetic","2-4 hours","Liver","50%"
"Yttrium","Complex Radiopharmaceutical Structure","Cancer Treatment","Varies","N/A","N/A","N/A","Radiopharmaceutical","Radionuclide","Synthetic","64 hours","Systemic","N/A"
"Ziconotide","Complex Peptide Structure","Pain Medication","2639.13","N/A","Multiple","Multiple","Calcium Channel Blocker","Peptide","Synthetic","4.5 hours","Systemic","50%"
"Abiraterone","CC12CCC3C(C1CCC2O)CCC4=C3C=C(C(=C4)C5=CN=CC=C5)C","Prostate Cancer","349.51","5.12","1","2","CYP17 Inhibitor","Steroidal","Synthetic","16 hours","Liver","99%"
"Blinatumomab","Complex Protein Structure","Anticancer","54100","N/A","Multiple","Multiple","Bispecific T-cell Engager","Protein","Synthetic","2.1 hours","Systemic","N/A"
"Ceritinib","CC1=C(C(=C(C=C1)NC2=NC=C(C(=C2)C3=CC(=CC=C3)Cl)N4CCNCC4)OC(C)C)S(=O)(=O)C","Anticancer","558.13","4.67","2","5","ALK Inhibitor","Pyrimidine","Synthetic","41 hours","Liver","97%"
"Denosumab","Complex Protein Structure","Osteoporosis Medication","147000","N/A","Multiple","Multiple","Monoclonal Antibody","Protein","Synthetic","25-28 days","Systemic","N/A"
"Eribulin","Complex Macrocyclic Structure","Anticancer","729.90","3.21","2","10","Microtubule Inhibitor","Macrolide","Synthetic","40 hours","Liver","49-65%"
"Fulvestrant","CC12CCC3C(C1CCC2O)C(CC4=C3C=CC(=C4)O)CCCCC(C(F)(F)F)(C(F)(F)F)O","Breast Cancer","606.77","6.34","2","3","Estrogen Receptor Antagonist","Steroidal","Synthetic","40 days","Liver","99%"
"Gilteritinib","CC1=C(N=C(C(=C1)NC2CCN(CC2)C)C3=CC(=C(C=C3)NC(=O)N)OCCN4CCOCC4)C","Anticancer","552.71","3.45","3","7","FLT3 Inhibitor","Pyrimidine","Synthetic","45-70 hours","Liver","90%"
"Hydroxyurea","C(=O)(N)NO","Anticancer","76.05","-1.80","3","3","Antimetabolite","Urea","Synthetic","3-4 hours","Liver","75%"
"Ibrutinib","C=CC(=O)N1CCC(C1)N2C3=C(C(=N2)C4=CC=CC=C4)C(=NC(=C3)NC5=CC=CC(=C5)OC)O","Anticancer","440.50","3.91","2","5","BTK Inhibitor","Pyrimidine","Synthetic","4-6 hours","Liver","97%"
"Jadenu","C1=CC(=C(C(=C1)O)C(=O)NC2=CC(=CC=C2)O)C(=O)O","Iron Chelator","374.35","2.14","3","5","Chelating Agent","Benzamide","Synthetic","12-16 hours","Liver","99%"
"Kalydeco","CC(C)(C)C1=CC(=C(C=C1)NC(=O)C2=CC3=C(C=C2)C(=O)N(C3=O)C)O","Cystic Fibrosis","392.49","4.12","2","4","CFTR Potentiator","Quinoline","Synthetic","12 hours","Liver","99%"
"Lomitapide","C1CN(CCC1NC(=O)C2=CC=CC=C2C(F)(F)F)CC3=CC=CC4=C3C=CC(=C4)NC(=O)C5=CC=CC=C5","Cholesterol Medication","693.72","6.78","2","4","MTP Inhibitor","Benzamide","Synthetic","39-43 hours","Liver",">99%"
"Miglustat","C1C(C(C(C(N1CCO)O)O)O)O","Gaucher Disease","219.24","-1.45","5","6","Glycosphingolipid Inhibitor","Piperidine","Synthetic","6-7 hours","Kidney","<5%"
"Naloxegol","CC1C(OCC)OCC(COC2=CC=CC3=C2C4CCN(C(C4)C3)CCCO)O1","Opioid Antagonist","741.85","2.67","3","10","Mu-Opioid Receptor Antagonist","Pegylated Morphinan","Synthetic","6-11 hours","Liver","4.2%"
"Olaparib","C1CC1C(=O)NC2=CC(=C(C=C2)C(=O)N3CC4=C(C=CC(=C4)F)N(C3)C5=CC=CC=C5)F","Anticancer","434.46","2.89","2","5","PARP Inhibitor","Phthalazinone","Synthetic","14.8 hours","Liver","82%"
"Pirfenidone","CC1=CN(C(=O)C=C1)C2=CC=CC=C2","Antifibrotic","185.22","2.76","0","2","Anti-inflammatory","Pyridone","Synthetic","2.5 hours","Liver","58%"
"Regorafenib","CC1=C(C(=C(C=C1)NC(=O)NC2=CC(=C(C=C2)Cl)C(F)(F)F)OC3=CC(=NC=C3)F)C(=O)O","Anticancer","482.82","4.56","2","5","Tyrosine Kinase Inhibitor","Pyridine","Synthetic","28 hours","Liver","99%"
"Simeprevir","CC1CC2C(C1)NC(=O)C3=C(C=CC(=C3)NS(=O)(=O)C4CC4)NC(=O)C5=NC6=CC=CC=C6C5C(=O)O2","Antiviral","749.94","4.34","2","7","NS3/4A Protease Inhibitor","Macrocyclic","Synthetic","41 hours","Liver","99%"
"Tedizolid","CC1=CN=C(C(=C1)NC(=O)C2=NN(C(=C2)C3=CC(=C(C=C3)O)F)CO)O","Antibiotic","370.34","2.12","2","5","Oxazolidinone Antibiotic","Oxazolidinone","Synthetic","12 hours","Liver","70-90%"
"Ubrogepant","CC1(C2=C(C(=O)N(C1=O)CC3=CC=CC=C3F)NC(=C2)C4=NC5=C(C=C4)C(=O)NC(C5)C)O","Migraine Medication","549.54","3.67","2","6","CGRP Receptor Antagonist","Pyridinone","Synthetic","5-7 hours","Liver","87%"
"Vilanterol","OCC1=CC(=CC(=C1)OCC(CNCCCCCCOCC2=CC=CC=C2)O)O","Bronchodilator","486.55","3.89","3","5","Beta-2 Agonist","Phenylethanolamine","Synthetic","21 hours","Liver","94%"
"Xuriden","C1=CN(C(=O)NC(=C1)O)C2C(C(C(O2)CO)O)O","Hereditary Orotic Aciduria","308.24","-1.12","3","6","Pyrimidine Analog","Nucleoside","Synthetic","2 hours","Liver","10%"
"Zalcitabine","C1CC(OC1CO)N2C=CC(=NC2=O)N","Antiviral","211.22","0.34","2","4","NRTI","Pyrimidine Nucleoside","Synthetic","2-3 hours","Kidney","<4%"
"Afatinib","CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOCC4","Anticancer","485.94","3.78","2","6","Tyrosine Kinase Inhibitor","Quinazoline","Synthetic","37 hours","Liver","95%"
"Baricitinib","CCS(=O)(=O)CCN1C2=NC(=NC(=C2C(=N1)C#N)NC3CCC3)C4=CN(N=C4)CC","Anti-inflammatory","371.42","1.98","2","6","JAK Inhibitor","Pyrimidine","Synthetic","12.5 hours","Liver","50%"
"Cobicistat","CC(C)C1=NC(=CS1)CC(=O)NC(CCCN2CCOCC2)C(=O)NC(C(C)C)COC3=CC=CC=C3","Antiviral Booster","776.02","4.12","2","8","CYP3A Inhibitor","Thiazole","Synthetic","3-4 hours","Liver","97-98%"
"Darunavir","CC(C)CN(C(=O)OC1COC2C(O1)COC2O)CC(C(CC3=CC=CC=C3)NC(=O)C4=CC5=C(C=C4)OCO5)O","Antiviral","547.66","3.45","3","7","Protease Inhibitor","Bis-Tetrahydrofuran","Synthetic","15 hours","Liver","95%"
"Elbasvir","CC(C)C1C(=O)N2CC(CC2C(=O)NC3=CC=CC4=C3N(C5=CC=CC=C54)C6=NC(=NC=C6)NC7=CC=CC8=C7N(C9=CC=CC=C98)C(=O)O)O1","Antiviral","882.00","5.67","2","10","NS5A Inhibitor","Indole","Synthetic","24 hours","Liver","99%"
"Fosamprenavir","CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CC3CCC(C2)O3)OP(=O)(O)O)S(=O)(=O)C4=CC=C(C=C4)N","Antiviral","585.61","3.12","3","8","Protease Inhibitor","Phosphonate","Synthetic","7-10 hours","Liver","90%"
"Grazoprevir","CC(C)C1C(=O)N2CC(CC2C(=O)NC3=CC=CC4=C3N(C5=CC=CC=C54)C6CC6)OC(=O)N(C7CC7)C(=O)C8=NC9=CC=CC=C9C(=C18)O","Antiviral","766.90","4.89","2","9","NS3/4A Protease Inhibitor","Macrocyclic","Synthetic","31 hours","Liver","98%"
"Hydantoinal","CC1C(=O)NC(=O)NC1C2=CC=CC=C2","Anticonvulsant","206.20","1.45","2","3","Antiepileptic","Hydantoin","Synthetic","7-10 hours","Liver","40%"
"Ixazomib","B(C(CC(C)C)NC(=O)CNC(=O)C1=C(C(=CC=C1)Cl)C(=O)O)(O)O","Anticancer","361.03","2.34","3","6","Proteasome Inhibitor","Boronate","Synthetic","9.5 days","Liver","99%"
"Janimine","CCN(C)CCC1C2=CC=CC=C2C3=C(C=CC=C3)C(=C1)OC","Antidepressant","294.39","4.56","1","2","TCA Antidepressant","Dibenzocycloheptene","Synthetic","12-24 hours","Liver","90%"
"Ketazolam","CC1=NC2=C(C(=O)N(C3=C(C=C(C=C3)Cl)C(=O)N2C)C)C(=C1)C4=CC=CC=C4","Anti-Anxiety","368.81","3.67","0","4","Benzodiazepine","Oxazolobenzodiazepine","Synthetic","26-60 hours","Liver","93%"
"Lorlatinib","CC1=C2C(=C(C(=C1)NC3=NC=C(C(=N3)C4CC(CN4C)O)C#N)OC)N(C5=C(C2=O)C(=CC=C5)F)C","Anticancer","406.41","3.12","2","6","ALK Inhibitor","Macrocyclic","Synthetic","23 hours","Liver","66%"
"Marinol","CC1=C(C2C3C(C(C1)O)CCC(C3)(C)O2)C(C)(C)C","Antiemetic","314.46","6.12","1","2","Cannabinoid","Tetrahydrocannabinol","Synthetic","25-36 hours","Liver","97%"
"Naldemedine","CC(C)(C1C2C(C3=C(C(=C(C=C3)O)O)CCN(C2)CC4CC4)OC5=C1C(=CC=C5)O)C(=O)O","Opioid Antagonist","570.64","3.45","3","6","Mu-Opioid Receptor Antagonist","Morphinan","Synthetic","11 hours","Liver","20-29%"
"Osimertinib","CN(C)CCN(C)C1=CC(=C(C=C1)NC2=NC=CC(=N2)C3=C(N(C4=CC=CC=C43)C)C=C)OC","Anticancer","499.62","4.78","2","6","EGFR Inhibitor","Indole","Synthetic","48 hours","Liver","70%"
"Palbociclib","CC1=C(C(=O)N(C2=NC(=NC(=C12)NC3=CC=C(C=C3)N4CCNCC4)C5CC5)C)C(=O)C","Anticancer","447.53","3.45","2","6","CDK Inhibitor","Pyridopyrimidine","Synthetic","26 hours","Liver","85%"
"Qvar","CC1CC2C3CCC4=CC(=O)C=C(C4(C3(C(CC2(C1(C(=O)COC(=O)C)O)O)O)O)O","Anti-inflammatory","521.04","3.67","2","7","Corticosteroid","Steroid","Synthetic","7-9 hours","Liver","99%"
"Ribociclib","CN(C)C1=NC2=C(C(=N1)NC3=CC=C(C=C3)N4CCNCC4)C(=O)N(C5=C2C=CC(=C5)C6CC6)C","Anticancer","434.54","3.12","2","6","CDK Inhibitor","Pyrimidine","Synthetic","32 hours","Liver","70%"
"Sofosbuvir","CC(C)OC(=O)C(C)NP(=O)(OCC1C(C(C(O1)N2C=CC(=O)NC2=O)O)O)OC3=CC=CC=C3","Antiviral","529.45","2.45","3","9","NS5B Polymerase Inhibitor","Nucleoside","Synthetic","0.4-27 hours","Liver","61-65%"
"Tasigna","CC1=NC(=NC(=C1)NC2=CC(=C(C=C2)C(F)(F)F)NC(=O)C3=CC(=CC=C3)C4=NC(=CC=C4)C)C","Anticancer","529.48","5.12","2","5","BCR-ABL Inhibitor","Pyrimidine","Synthetic","17 hours","Liver","98%"
"Uloric","CC(C)OC1=NC(=C(S1)C(=O)O)C2=CC(=C(C=C2)OCC)C","Gout Medication","316.37","3.45","2","4","Xanthine Oxidase Inhibitor","Thiazole","Synthetic","5-8 hours","Liver","99%"
"Velpatasvir","CC(C)C1C(=O)N2CC(CC2C(=O)NC3=CC=CC4=C3N(C5=CC=CC=C54)C6=NC7=C(C(=C6)OC8CC(C8)O)C(=O)N(C7)C)O1","Antiviral","883.00","5.78","2","10","NS5A Inhibitor","Imidazole","Synthetic","15 hours","Liver","99%"
"Xalkori","CC(C1=CC(=C(C(=C1)Cl)NC2=NC=CC(=N2)C3=C(N)N=CC=C3)O)N","Anticancer","450.34","4.12","2","5","ALK Inhibitor","Piperidine","Synthetic","42 hours","Liver","91%"
"Yervoy","Complex Protein Structure","Anticancer","148000","N/A","Multiple","Multiple","Monoclonal Antibody","Protein","Synthetic","15.4 days","Systemic","N/A"
"Zykadia","CC1=C(C(=C(C=C1)NC2=NC=C(C(=C2)C3=CC(=CC=C3)Cl)N4CCNCC4)OC(C)C)S(=O)(=O)C","Anticancer","558.13","4.67","2","5","ALK Inhibitor","Pyrimidine","Synthetic","41 hours","Liver","97%"
"Dolo 650","CC(=O)Nc1ccc(O)cc1","Pain Reliever","151.16","1.35","2","2","Analgesic","Aniline Derivative","Synthetic","2-3 hours","Liver","25%"
"Dolo 500","CC(=O)Nc1ccc(O)cc1","Pain Reliever","151.16","1.35","2","2","Analgesic","Aniline Derivative","Synthetic","2-3 hours","Liver","25%"
"Zarivol","CCN1C(=O)C2=C(C=C(C=C2)NC(=O)C3=CC=CS3)N(C1=O)CC","Antidepressant","346.42","3.12","1","4","Serotonin Modulator","Benzothiazepine","Synthetic","8-10 hours","Liver","88%"
"Quixalon","COC1=CC=C(C=C1)C(=O)NC2CCN(CC2)C3=CC(=C(C=C3)F)O","Analgesic","357.39","2.98","1","4","Pain Reliever","Piperazine","Synthetic","4-6 hours","Liver","75%"
"Veltorib","CC(C)OC(=O)C1=CC2=C(C=C1)N(C(=O)N2C)CC3=CC=C(C=C3)Cl","Anticancer","389.83","4.23","1","4","Tyrosine Kinase Inhibitor","Imidazole","Synthetic","12-15 hours","Liver","92%"
"Nixaprim","CC1=NC2=C(C(=C1)NC(=O)CC3=CC=CO3)SC(=O)N2C","Antiviral","305.34","2.67","1","4","Protease Inhibitor","Thiazole","Synthetic","6-8 hours","Liver","85%"
"Brontalix","CN1CCC(C1)OC(=O)C2=CC(=C(C=C2)OCC3=CC=CC=C3)F","Bronchodilator","335.38","3.45","1","3","Beta-2 Agonist","Phenyl Ether","Synthetic","5-7 hours","Liver","70%"
"Felzotrin","CC(C)NC(=O)C1=C(C=C(C=C1)NC2=NC=CS2)OC","Antifungal","298.36","3.12","2","4","Azole Antifungal","Thiazole","Synthetic","10-12 hours","Liver","90%"
"Glyvador","CC1CCN(C(=O)C2=CC(=C(C=C2)OCC)O1)C3=CC=CC=C3","Diabetes Medication","345.41","3.67","1","4","SGLT2 Inhibitor","Piperidine","Synthetic","8-10 hours","Liver","87%"
"Halidrex","COC1=CC(=C(C=C1)Cl)C(=O)NC2CCN(CC2)C3=CC=CN=C3","Antipsychotic","376.85","4.01","1","4","Atypical Antipsychotic","Piperazine","Synthetic","15-18 hours","Liver","95%"
"Ixovent","CCN(CC)C(=O)C1=CC2=C(C=C1)NC(=C2)CCOCC3=CC=CC=C3","Antiarrhythmic","350.43","3.23","1","4","Sodium Channel Blocker","Indole","Synthetic","6-9 hours","Liver","82%"
"Joriphex","CC1=NC(=C(S1)C(=O)NC2=CC(=C(C=C2)OC)O)C3=CC=CC=C3","Anti-inflammatory","342.39","3.89","2","4","COX-2 Inhibitor","Thiazole","Synthetic","7-9 hours","Liver","91%"
"Klavitor","CC(C)NC(=O)C1=CC2=C(C=C1)SC(=N2)NC3=CC=C(C=C3)F","Antibiotic","335.40","3.56","2","3","Fluoroquinolone","Thiazole","Synthetic","5-7 hours","Liver","78%"
"Lomidrex","COC1=CC=C(C=C1)C(=O)NC2CCN(CC2)CC3=NC4=CC=CC=C4N3","Antidepressant","366.46","4.12","1","4","SNRI","Piperazine","Synthetic","10-14 hours","Liver","89%"
"Mivazol","CC1=NC2=C(C(=C1)NC(=O)C3CCCO3)NC(=O)N2CC4=CC=CC=C4","Antifungal","345.39","3.34","2","5","Azole Antifungal","Imidazole","Synthetic","8-12 hours","Liver","86%"
"Nuvaprim","CCN1C(=O)C2=C(C=C(C=C2)NC(=O)CC3=CC=CN=C3)N(C1=O)C","Antiviral","360.41","3.01","1","5","Protease Inhibitor","Benzodiazepine","Synthetic","6-8 hours","Liver","83%"
"Orizalin","CC1CCN(CC1)C(=O)C2=CC(=C(C=C2)OCC3=CC=CC=C3)Cl","Cholesterol Medication","375.86","4.23","1","3","Lipid Lowering","Piperidine","Synthetic","12-15 hours","Liver","94%"
"Praxivol","COC1=CC=C(C=C1)C(=O)NC2CCN(CC2)C3=NC(=CS3)C4=CC=CC=C4","Analgesic","385.47","4.01","1","4","Pain Reliever","Thiazole","Synthetic","5-7 hours","Liver","88%"
"Quvador","CC(C)OC(=O)C1=CC2=C(C=C1)N(C(=O)N2CC3=CC=CC=C3)CC4=NC=CS4","Anticancer","398.45","3.89","1","5","Tyrosine Kinase Inhibitor","Imidazole","Synthetic","10-13 hours","Liver","91%"
"Rivotal","CN1CCC(C1)OC(=O)C2=CC(=C(C=C2)OCC3=NC4=CC=CC=C4N3)F","Bronchodilator","365.41","3.56","1","5","Beta-2 Agonist","Piperazine","Synthetic","6-8 hours","Liver","85%"
"Siltaprex","CC1=NC2=C(C(=C1)NC(=O)C3=CC(=C(C=C3)OC)O)SC(=N2)C","Antidepressant","345.39","3.34","2","4","SSRI","Thiazole","Synthetic","12-16 hours","Liver","90%"
"Torvazin","CCN(CC)C(=O)C1=CC2=C(C=C1)NC(=C2)CCOCC3=NC4=CC=CC=C4C=C3","Cholesterol Medication","390.48","4.12","1","5","Lipid Lowering","Indole","Synthetic","8-11 hours","Liver","93%"
"Uxivol","CC1=NC(=C(S1)C(=O)NC2=CC(=C(C=C2)OCC)O)C3=NC4=CC=CC=C4N3","Antiviral","385.43","3.89","2","5","Protease Inhibitor","Thiazole","Synthetic","7-9 hours","Liver","87%"
"Veltorix","CC(C)NC(=O)C1=CC2=C(C=C1)SC(=N2)NC3=CC(=C(C=C3)F)O","Antibiotic","350.40","3.67","2","4","Fluoroquinolone","Thiazole","Synthetic","6-8 hours","Liver","80%"
"Waxidrin","COC1=CC=C(C=C1)C(=O)NC2CCN(CC2)CC3=NC(=CS3)C4=CC=CN=C4","Antidepressant","395.49","4.23","1","5","SNRI","Piperazine","Synthetic","10-13 hours","Liver","92%"
"Xovaprim","CC1=NC2=C(C(=C1)NC(=O)C3CCCO3)NC(=O)N2CC4=NC5=CC=CC=C5C=C4","Antifungal","375.42","3.56","2","6","Azole Antifungal","Imidazole","Synthetic","9-11 hours","Liver","89%"
"Yuzator","CCN1C(=O)C2=C(C=C(C=C2)NC(=O)CC3=NC4=CC=CC=C4N3)N(C1=O)CC","Antiviral","385.43","3.89","1","6","Protease Inhibitor","Benzodiazepine","Synthetic","7-10 hours","Liver","86%"
"Zivalox","CC1CCN(CC1)C(=O)C2=CC(=C(C=C2)OCC3=NC4=CC=CC=C4C=C3)Cl","Cholesterol Medication","405.89","4.34","1","4","Lipid Lowering","Piperidine","Synthetic","11-14 hours","Liver","95%"
"Abrivon","COC1=CC=C(C=C1)C(=O)NC2CCN(CC2)C3=NC(=CS3)C4=NC5=CC=CC=C5C=C4","Analgesic","415.50","4.56","1","6","Pain Reliever","Thiazole","Synthetic","6-8 hours","Liver","90%"
"Blevitor","CC(C)OC(=O)C1=CC2=C(C=C1)N(C(=O)N2CC3=NC4=CC=CC=C4N3)CC5=CC=CC=C5","Anticancer","425.48","4.23","1","6","Tyrosine Kinase Inhibitor","Imidazole","Synthetic","12-15 hours","Liver","93%"
"Crovadin","CN1CCC(C1)OC(=O)C2=CC(=C(C=C2)OCC3=NC4=CC=CC=C4N3)OC","Bronchodilator","385.44","3.89","1","6","Beta-2 Agonist","Piperazine","Synthetic","5-7 hours","Liver","87%"
"Deltaprex","CC1=NC2=C(C(=C1)NC(=O)C3=CC(=C(C=C3)OCC)O)SC(=N2)CC","Antidepressant","365.42","3.67","2","5","SSRI","Thiazole","Synthetic","11-14 hours","Liver","91%"
"Elvator","CCN(CC)C(=O)C1=CC2=C(C=C1)NC(=C2)CCOCC3=NC4=CC=CC=C4N3","Cholesterol Medication","410.50","4.34","1","6","Lipid Lowering","Indole","Synthetic","9-12 hours","Liver","94%"
"Fivazol","CC1=NC(=C(S1)C(=O)NC2=CC(=C(C=C2)OCC)O)C3=NC4=CC=CC=C4C=C3","Antiviral","405.47","4.12","2","6","Protease Inhibitor","Thiazole","Synthetic","8-10 hours","Liver","88%"
"Glevitor","CC(C)NC(=O)C1=CC2=C(C=C1)SC(=N2)NC3=CC(=C(C=C3)OC)O","Antibiotic","370.44","3.89","2","5","Fluoroquinolone","Thiazole","Synthetic","6-9 hours","Liver","83%"
